55kV,60kV,70kV,80kV,90kV,100kV,110kV,120kV,130kV,140kV
29.1038223238,33.9545236932,44.617275953,56.5254111368,69.6413899929,83.9330671168,99.3724290258,115.9347201292,133.5978137542,152.3417453085
28.2004835054,32.9339495681,43.3538943084,55.0102346783,67.8675748202,81.8955599663,97.0677024784,113.3605676475,130.7531870702,149.2266227703
30.5842384061,35.7300912093,47.0633389681,59.7485095884,73.7475953561,89.0279852952,105.5612103614,123.3220727717,142.28801844,162.4386705061
35.9607478547,41.4769895245,53.4083673649,66.4850785572,80.6531733714,95.8672188079,112.088203098,129.2821062704,147.4188853903,166.4717305803
28.7636700874,33.5560995995,44.0900588296,55.8534487241,68.8091243944,82.9252803175,98.1742008903,114.5313950958,131.9749738237,150.4851877267
18.9225896334,22.5076176782,30.6068680317,39.9440995658,50.5183115452,62.328622526,75.3742449333,89.6544669946,105.1686394369,121.9161654061
28.2552906132,33.0377620724,43.5835401594,55.4040352509,68.4650572494,82.7372338296,98.1948946784,114.8152964172,132.5780633655,151.4647714743
27.5029422064,32.4878380449,43.6397635715,56.350918236,70.6035193521,86.3820611542,103.6728124355,122.46346281,142.7428643731,164.5008373837
27.4296981788,32.1842147688,42.720053947,54.5971033382,67.7864061529,82.2629594318,98.0048130834,114.9924411157,133.2082860877,152.6364189169
26.2645093491,30.6560782466,40.3158463441,51.112004678,63.0110807225,75.9843922412,90.0069289134,105.0565772553,121.1135625499,138.1600344308
26.262823217,30.8518834696,41.0382594414,52.5438964419,65.3426875148,79.4120511563,94.7321324826,111.2852448507,129.0554647333,148.028328795
18.9853525272,22.4753232184,30.3069901207,39.2656338473,49.3421434186,60.5285492005,72.8177737783,86.2034560257,100.6798222886,116.2415892647
28.7765480788,33.6003776013,44.2164160579,56.0884433986,69.1801487181,83.4604010744,98.9020421488,115.481049104,133.1759315667,151.9672836589
26.8876227687,31.4908536857,41.665248748,53.1006250923,65.766305427,79.6358713505,94.6861845804,110.8967055337,128.2490006966,146.7263754584
25.8698047498,30.2805521844,40.0212138084,50.9582814863,63.0615667791,76.3050950739,90.6661344585,106.1245201648,122.6621665263,140.2627034659
26.1522775258,30.5611573522,40.2752068892,51.1531225891,63.1626809009,76.2762222171,90.4695910891,105.7214005984,122.0125019471,139.3255900831
19.1962972483,22.9376316046,31.4448509001,41.3261716256,52.5901614246,65.2444169446,79.2957659195,94.7504116516,111.6140399771,129.8919007186
24.8255750875,29.4725280271,39.9424535861,51.9748649221,65.5639076501,80.7044395937,97.3918775205,115.6220885003,135.3913100896,156.6960899727
29.4274118418,34.5432492496,45.8867505249,58.6834332628,72.9028780338,88.5188022635,105.5081194968,123.8502824924,143.5268070416,164.5209162029
29.0105352132,34.3287502898,46.2558916076,59.8898064989,75.215586358,92.2201982922,110.8920748355,131.2208243717,153.1970192145,176.8120359045
26.8875140085,31.6898531037,42.3993944331,54.5615209442,68.1547242586,83.1603110223,99.5617750166,117.344356344,136.4947203497,157.0007166918
28.4725742609,33.5144663468,44.7375854942,57.4557917363,71.6440038159,87.2804643322,104.345993707,122.8234673294,142.6974353064,163.9538375305
23.4021949881,27.9697312969,38.3590173671,50.4309888148,64.1967409344,79.6661148752,96.847958333,115.7503119942,136.3805476037,158.7454731296
26.8364532429,31.9039015406,43.3436209872,56.5204403688,71.4315393507,88.07443571,106.4469130839,126.5469696607,148.3727804228,171.9226685511
25.1513826154,30.0210480546,41.0770509472,53.8961852647,68.4865101777,84.855160311,103.0085392488,122.9524576879,144.6922355864,168.2327798602
22.0937935561,26.7486410845,37.5319796017,50.3297843403,65.1959545527,82.1792019884,101.3240551682,122.6715900119,146.2599792172,172.1249165325
22.9202542712,27.4933161438,37.9488273677,50.1703301593,64.1794221287,79.9953610339,97.6355418104,117.1158393841,138.4508636295,161.6541543248
17.3189058897,20.7882417656,28.7277805445,38.0185127688,48.6783670101,60.723345001,74.1679130456,89.0252835523,105.3076245809,123.026220189
19.2677571202,23.1553716702,32.0673545834,42.5166698933,54.5266059117,68.1179845449,83.3096590268,100.1188725003,118.5615252929,138.6523797018
