45kV,55kV,65kV,75kV,85kV,95kV,105kV,115kV,125kV,135kV
16.9495150846,25.2226130069,35.1158518923,46.6240363751,59.7427350304,74.4680851041,90.7966636986,108.7253982867,128.2515020078,
16.733360835,24.8372421966,34.5056558455,45.7302457786,58.5038989588,72.8204258506,88.6743500589,106.0607624211,124.9752156543,
18.8254925662,27.786745526,38.4240043792,50.7205343923,64.6621523759,80.2365630708,97.4329238827,116.2415440165,136.6536678913,
19.4121725219,28.8766521456,40.1908039622,53.348128037,68.3430818029,85.170835154,103.8271089307,124.3080627414,146.6102138667,170.7303767278
17.8186639252,26.0988602074,35.8593073513,47.0758077834,59.7279766642,73.7982342305,89.2711484457,106.1329827638,124.3713719366,
10.7351240377,16.6416832209,23.9713795559,32.7689637312,43.0738457233,54.9213381176,68.3435001883,83.3697391199,100.0272544824,
17.9210117045,26.2786067904,36.1404407069,47.4833317644,60.2877335505,74.5367764212,90.2156417133,107.3111309223,125.8113566699,
16.0162581435,24.2745969668,34.3154870068,46.1606482967,59.8288745327,75.3367513832,92.699136482,111.9294966346,133.0401540784,156.042471982
16.9032262452,25.068167741,34.8019687714,46.0951466538,58.9396346067,73.3284171814,89.2552903414,106.7146951408,125.7015976839,
16.0255646637,23.6402575496,32.6743506054,43.1129877598,54.9435837761,68.1552329235,82.738321283,98.6842588591,115.9852867956,134.6343340629
15.5466199355,23.323326482,32.6915395571,43.6569519949,56.2244504447,70.3983178315,86.1823676785,103.5800378826,122.5944588206,
10.9060793439,16.7205703761,23.8640701555,32.3657540102,42.2510942262,53.542745212,66.2611397807,80.4249110072,96.0512022349,113.1559019061
18.2923755632,26.8260138882,36.8965476705,48.480426785,61.5577925051,76.1115044106,92.1265050315,109.5893824095,128.4880563016,148.8115455784
15.7019761987,23.4844887992,32.8337660641,43.7513972935,56.238743462,70.2969949443,85.9272097319,103.1303400631,121.9072517317,
15.1712997974,22.5648020545,31.4020596458,41.6778218201,53.387611719,66.5275283431,81.0941159625,97.084273426,114.4951886044,133.32428946
15.8512600674,23.4410313916,32.4657628274,42.91337732,54.773624031,68.0376052619,82.6974657495,98.7461776495,116.1773855945,134.9852913719
8.9463797527,14.1870464565,20.8253069648,28.9326654468,38.5732170287,49.8052768454,62.6825037062,77.2547116251,93.5684771936,93.5684771936
15.5733060467,23.4971062211,33.0920003181,44.3719894535,57.3491457612,72.0340907236,88.436313794,106.5643956201,126.426170664,126.426170664
17.4132550218,26.1527965771,36.6915162246,49.037531984,63.1978183226,79.1784926359,96.985005461,116.6222733637,138.0947755072,138.0947755072
18.5080838515,27.6497957079,38.6205392009,51.4204204233,66.0495301452,82.507947697,100.7957435391,120.9129810506,142.8597178254,166.636006642
16.8866130813,25.104242495,34.9223741632,46.3345601992,59.3353050736,73.9198216668,90.0838704551,107.8236478624,127.1357055747,148.0168903322
17.6851393853,26.451672117,36.9834631914,49.2823639934,63.3499599808,79.1876379111,96.7966303482,116.1780466776,137.3328955942,160.2621019326
11.6554605938,18.6929474215,27.6987018945,38.7929966056,52.0845946458,67.6732053616,85.6511916856,106.1048117197,129.1151536685,
16.7817817671,25.4440710249,35.9795647237,48.4116625342,62.7606172354,79.0443065263,97.2787489019,117.4784661483,139.6567481238,
15.4368846977,23.6149675359,33.6423232159,45.5560805009,59.3886000088,75.1686198557,92.9220262169,112.6723977501,134.4414051953,
13.6286289283,21.4071629367,31.1755393945,43.0190041753,57.0134046625,73.2273074648,91.7234494359,112.5597795497,135.7902346577,
13.2683639631,20.8798029578,30.4543241275,42.0791840798,55.8321311556,71.7835378577,89.9978638415,110.5347075725,133.4495901488,158.7945566439
